Symbol,Name,InstrumentToken,ExchangeToken,InstrumentType,Segment,Exchange,IsActive
WELENT,"WELSPUN ENTERPRISES",2976257,11626,EQ,NSE,NSE,True
NARMADA,"NARMADA AGROBASE",2976513,11627,EQ,NSE,NSE,True
NTPC,"NTPC",2977281,11630,EQ,NSE,NSE,True
SALSTEEL-BE,"S.A.L. STEEL",2979073,11637,EQ,NSE,NSE,True
BOHRAIND,"BOHRA INDUSTRIES",2979841,11640,EQ,NSE,NSE,True
KOTARISUG,"KOTHARI SUG & CHEM",2981633,11647,EQ,NSE,NSE,True
LALPATHLAB,"DR. LAL PATH LABS",2983425,11654,EQ,NSE,NSE,True
JBMA,"JBM AUTO",2983681,11655,EQ,NSE,NSE,True
DWARKESH,"DWARIKESH SUGAR IND",2986753,11667,EQ,NSE,NSE,True
INDOCO,"INDOCO REMEDIES",2989313,11677,EQ,NSE,NSE,True
SUPRAJIT,"SUPRAJIT ENGINEERING",2992385,11689,EQ,NSE,NSE,True
PATELENG,"PATEL ENGINEERING",2994945,11699,EQ,NSE,NSE,True
ALKEM,"ALKEM LABORATORIES",2995969,11703,EQ,NSE,NSE,True
XCHANGING,"XCHANGING SOLUTIONS",2996481,11705,EQ,NSE,NSE,True
JSWSTEEL,"JSW STEEL",3001089,11723,EQ,NSE,NSE,True
CONSOFINVT-BE,"CONSO. FIN. & HOLD.",3003393,11732,EQ,NSE,NSE,True
JINDALPHOT,"JINDAL PHOTO",3006209,11743,EQ,NSE,NSE,True
JPPOWER,"JAIPRAKASH POWER VEN.",3011329,11763,EQ,NSE,NSE,True
GOKEX,"GOKALDAS EXPORTS",3015169,11778,EQ,NSE,NSE,True
ACEINTEG,"ACE INTEGRATED SOLU.",3015425,11779,EQ,NSE,NSE,True
EVEREADY,"EVEREADY INDS. IND.",3016193,11782,EQ,NSE,NSE,True
GOYALALUM,"GOYAL ALUMINIUMS",3017473,11787,EQ,NSE,NSE,True
SAKSOFT,"SAKSOFT",3019265,11794,EQ,NSE,NSE,True
HPIL,"HINDPRAKASH INDUSTRY",3019777,11796,EQ,NSE,NSE,True
ALLDIGI,"ALLDIGI TECH",3020289,11798,EQ,NSE,NSE,True
SUKHJITS,"SUKHJIT STARCH & CHEM",3021825,11804,EQ,NSE,NSE,True
IIFL,"IIFL FINANCE",3023105,11809,EQ,NSE,NSE,True
